モード,条件,順番,名前,Lv,HP,攻撃,防御,速度,固有ID,勝率検証
回廊,104,2,⚔️ 法則守・1,7628,343595,37812,33825,5793,,未実戦検証
回廊,104,3,⚔️ 法則守・2,7625,183289,20750,17576,2767,,未実戦検証
回廊,104,4,⚔️ 法則守・3,7622,321156,21111,29907,4451,,未実戦検証
回廊,105,1,⚔️ 十神Ⅷ 創造,7708,31930346,127822,331946,27749,ten_creation,未実戦検証
回廊,105,2,⚔️ 法則守・1,7700,97210,16114,7309,5829,,未実戦検証
回廊,105,3,⚔️ 法則守・2,7697,306615,20749,31050,380,,未実戦検証
回廊,105,4,⚔️ 法則守・3,7694,139009,17460,14332,5577,,未実戦検証
回廊,106,1,⚔️ 十神Ⅸ 終焉,7780,15365544,187827,98887,32467,ten_end,未実戦検証
回廊,106,2,⚔️ 法則守・1,7772,106964,13142,4942,4243,,未実戦検証
回廊,106,3,⚔️ 法則守・2,7769,235678,22150,18711,3821,,未実戦検証
回廊,106,4,⚔️ 法則守・3,7766,120541,34323,16870,8538,,未実戦検証
回廊,107,1,⚔️ 十神Ⅹ 神格,7852,66548709,920697,504840,14853,ten_divinity,未実戦検証
回廊,107,2,⚔️ 法則守・1,7844,137995,34910,11608,11008,,未実戦検証
回廊,107,3,⚔️ 法則守・2,7841,186870,17771,18270,2468,,未実戦検証
回廊,107,4,⚔️ 法則守・3,7838,347493,28667,32133,2048,,未実戦検証
回廊,108,1,⚔️ 深淵Ⅰ 暴食,7924,13760038,179375,159292,3106,abyss_gluttony,未実戦検証
回廊,108,2,⚔️ 深淵Ⅱ 憤怒,7927,8124583,356699,124552,7912,abyss_wrath,未実戦検証
回廊,108,3,⚔️ 深淵Ⅲ 嫉妬,7930,5425485,175986,100172,10540,abyss_envy,未実戦検証
回廊,109,1,⚔️ 深淵Ⅳ 怠惰,7996,11644195,79132,292575,1166,abyss_sloth,未実戦検証
回廊,109,2,⚔️ 深淵Ⅴ 強欲,7999,5799186,132643,76199,8845,abyss_greed,未実戦検証
回廊,109,3,⚔️ 深淵Ⅵ 色欲,8002,5199112,76914,66803,14308,abyss_lust,未実戦検証
回廊,109,4,⚔️ 深淵Ⅶ 傲慢,8005,12242394,281834,224281,10994,abyss_pride,未実戦検証
回廊,110,1,⚔️ 十神Ⅰ 時間,8068,10469257,134675,203628,22171,ten_time,未実戦検証
回廊,110,2,⚔️ 十神Ⅱ 空間,8071,26585973,860362,341078,4540,ten_space,未実戦検証
回廊,110,3,⚔️ 十神Ⅴ 運命,8074,11678111,509078,138869,27504,ten_fate,未実戦検証
回廊,111,1,⚔️ 十神Ⅲ 生命,8140,10445690,59053,174977,21156,ten_life,未実戦検証
回廊,111,2,⚔️ 十神Ⅳ 死,8143,15691248,569906,295174,13880,ten_death,未実戦検証
回廊,111,3,⚔️ 十神Ⅷ 創造,8146,13177322,88605,230410,24047,ten_creation,未実戦検証
回廊,111,4,⚔️ 十神Ⅸ 終焉,8149,6035966,108679,65440,23369,ten_end,未実戦検証
回廊,112,1,⚔️ 十神Ⅵ 混沌,8212,15854279,456752,219691,13118,ten_chaos,未実戦検証
回廊,112,2,⚔️ 十神Ⅶ 支配,8215,10959386,118694,139591,16220,ten_dominion,未実戦検証
回廊,112,3,⚔️ 十神Ⅹ 神格,8218,33009718,646621,415388,10836,ten_divinity,未実戦検証
4対4,1,1,⚔️ 黒鉄の剣王〈4VS4 第1試練〉,1008,47862,1885,983,720,floor-boss-10,未実戦検証
4対4,1,2,⚔️ 黒鉄の護衛役,1006,18874,2394,1205,557,,未実戦検証
4対4,1,3,⚔️ 黒鉄の祈祷役,1005,28845,5308,3392,1443,,未実戦検証
4対4,1,4,⚔️ 黒鉄の妨害役,1004,31357,8271,2993,1350,,未実戦検証
4対4,2,1,⚔️ 翠風の鏡術師〈4VS4 第2試練〉,1011,72254,2138,1219,704,floor-boss-20,未実戦検証
4対4,2,2,翠風の護衛役,1009,75575,9235,4497,802,,未実戦検証
4対4,2,3,⚔️ 翠風の祈祷役,1008,28782,3628,2533,1258,,未実戦検証
4対4,2,4,⚔️ 翠風の妨害役,1007,19162,4780,1726,857,,未実戦検証
4対4,3,1,⚔️ 熔城の城塞公〈4VS4 第3試練〉,1014,96638,3428,2590,418,floor-boss-30,未実戦検証
4対4,3,2,⚔️ 熔城の護衛役,1012,27647,4005,1717,576,,未実戦検証
4対4,3,3,⚔️ 熔城の祈祷役,1011,50570,7322,4374,1433,,未実戦検証
4対4,3,4,⚔️ 熔城の妨害役,1010,27276,5578,2282,1115,,未実戦検証
4対4,4,1,⚔️ 氷迅の疾風侯〈4VS4 第4試練〉,1017,130807,4055,1625,1518,floor-boss-40,未実戦検証
4対4,4,2,氷迅の護衛役,1015,18860,1620,1060,655,,未実戦検証
4対4,4,3,⚔️ 氷迅の祈祷役,1014,24015,1822,2103,474,,未実戦検証
4対4,4,4,⚔️ 氷迅の妨害役,1013,62263,15481,23956,3938,,未実戦検証
4対4,5,1,⚔️ 星祷の命紡ぎ〈4VS4 第5試練〉,1020,271909,3223,4513,968,floor-boss-50,未実戦検証
4対4,5,2,星祷の護衛役,1018,45512,3411,4235,752,,未実戦検証
4対4,5,3,星祷の祈祷役,1017,27930,3423,2898,1283,,未実戦検証
4対4,5,4,星祷の妨害役,1016,58076,5859,5295,1343,,未実戦検証
4対4,6,1,⚔️ 深潮の封陣卿〈4VS4 第6試練〉,1023,102385,3053,3909,676,floor-boss-60,未実戦検証
4対4,6,2,深潮の護衛役,1021,144707,6307,11818,483,,未実戦検証
4対4,6,3,⚔️ 深潮の祈祷役,1020,35001,5803,4724,1082,,未実戦検証
4対4,6,4,⚔️ 深潮の妨害役,1019,69032,13330,5878,1502,,未実戦検証
4対4,7,1,⚔️ 瘴牙の双牙将〈4VS4 第7試練〉,1026,240586,19004,3457,1628,floor-boss-70,未実戦検証
4対4,7,2,⚔️ 瘴牙の護衛役,1024,96324,11109,6279,859,,未実戦検証
4対4,7,3,⚔️ 瘴牙の祈祷役,1023,34942,5222,3670,1502,,未実戦検証
4対4,7,4,⚔️ 瘴牙の妨害役,1022,81491,11665,7438,1067,,未実戦検証
4対4,8,1,⚔️ 虚鐘の葬鐘守〈4VS4 第8試練〉,1029,327303,4345,5089,578,floor-boss-80,未実戦検証
4対4,8,2,⚔️ 虚鐘の護衛役,1027,180669,9789,15715,491,,未実戦検証
4対4,8,3,⚔️ 虚鐘の祈祷役,1026,31005,3055,2720,949,,未実戦検証
4対4,8,4,⚔️ 虚鐘の妨害役,1025,76964,14357,6588,1657,,未実戦検証
4対4,9,1,⚔️ 火冠の冠位竜〈4VS4 第9試練〉,1032,605139,10786,7974,542,floor-boss-90,未実戦検証
4対4,9,2,火冠の護衛役,1030,30044,3133,1779,646,,未実戦検証
4対4,9,3,⚔️ 火冠の祈祷役,1029,68754,10152,5897,1837,,未実戦検証
4対4,9,4,⚔️ 火冠の妨害役,1028,20895,3520,1668,791,,未実戦検証
4対4,10,1,⚔️ 玄熔の剣王〈4VS4 第10試練〉,1035,186198,3712,3868,968,floor-boss-110,未実戦検証
4対4,10,2,⚔️ 玄熔の護衛役,1033,55057,3553,4763,852,,未実戦検証
4対4,10,3,玄熔の祈祷役,1032,76690,7963,6411,1739,,未実戦検証
4対4,10,4,⚔️ 玄熔の妨害役,1031,36321,4747,3916,1298,,未実戦検証
4対4,11,1,⚔️ 裂焔の鏡術師〈4VS4 第11試練〉,1032,164817,3085,2109,1187,floor-boss-120,未実戦検証
4対4,11,2,裂焔の護衛役,1030,59976,4552,4612,514,,未実戦検証
4対4,11,3,⚔️ 裂焔の祈祷役,1029,92677,13545,7532,2356,,未実戦検証
4対4,11,4,⚔️ 裂焔の妨害役,1028,24953,5145,1834,893,,未実戦検証
4対4,12,1,⚔️ 火脈の城塞公〈4VS4 第12試練〉,1035,225520,6390,3759,798,floor-boss-130,未実戦検証
4対4,12,2,⚔️ 火脈の護衛役,1033,55392,4962,3447,927,,未実戦検証
4対4,12,3,⚔️ 火脈の祈祷役,1032,93421,13851,8081,2128,,未実戦検証
4対4,12,4,⚔️ 火脈の妨害役,1031,14118,3345,1413,1749,,未実戦検証
4対4,13,1,⚔️ 熔迅の疾風侯〈4VS4 第13試練〉,1038,187630,8052,3631,1894,floor-boss-140,未実戦検証
4対4,13,2,⚔️ 熔迅の護衛役,1036,49014,5088,3061,908,,未実戦検証
4対4,13,3,熔迅の祈祷役,1035,82387,12113,7005,2080,,未実戦検証
4対4,13,4,⚔️ 熔迅の妨害役,1034,14138,4244,883,1656,,未実戦検証
4対4,14,1,⚔️ 炉心の命紡ぎ〈4VS4 第14試練〉,1041,396555,10303,4620,4155,floor-boss-150,未実戦検証
4対4,14,2,⚔️ 炉心の護衛役,1039,60119,5190,3620,807,,未実戦検証
4対4,14,3,⚔️ 炉心の祈祷役,1038,99074,13142,8540,2492,,未実戦検証
4対4,14,4,⚔️ 炉心の妨害役,1037,28381,5829,2736,922,,未実戦検証
4対4,15,1,⚔️ 薄氷の封陣卿〈4VS4 第15試練〉,1044,340775,5270,6677,1228,floor-boss-160,未実戦検証
4対4,15,2,⚔️ 薄氷の護衛役,1042,289850,13397,21485,1618,,未実戦検証
4対4,15,3,⚔️ 薄氷の祈祷役,1041,50756,4858,4860,744,,未実戦検証
4対4,15,4,薄氷の妨害役,1040,80430,30229,32203,5622,,未実戦検証
4対4,16,1,⚔️ 霜牙の双牙将〈4VS4 第16試練〉,1047,680973,17057,9534,1472,floor-boss-170,未実戦検証
4対4,16,2,⚔️ 霜牙の護衛役,1045,42164,3948,2394,1073,,未実戦検証
4対4,16,3,⚔️ 霜牙の祈祷役,1044,46888,4604,4023,721,,未実戦検証
4対4,16,4,⚔️ 霜牙の妨害役,1043,94503,34763,37499,6107,,未実戦検証
4対4,17,1,⚔️ 氷鐘の葬鐘守〈4VS4 第17試練〉,1050,1084826,10961,16198,381,floor-boss-180,未実戦検証
4対4,17,2,氷鐘の護衛役,1048,38076,3268,2142,1056,,未実戦検証
4対4,17,3,⚔️ 氷鐘の祈祷役,1047,64524,6117,6794,839,,未実戦検証
4対4,17,4,⚔️ 氷鐘の妨害役,1046,76878,8279,4750,299,,未実戦検証
4対4,18,1,⚔️ 零冠の冠位竜〈4VS4 第18試練〉,1053,143663,3578,2510,1534,floor-boss-190,未実戦検証
4対4,18,2,⚔️ 零冠の護衛役,1051,51005,6408,3977,965,,未実戦検証
4対4,18,3,零冠の祈祷役,1050,41168,3751,3477,726,,未実戦検証
4対4,18,4,⚔️ 零冠の妨害役,1049,104831,33581,41742,6684,,未実戦検証
4対4,19,1,⚔️ 胞鋼の剣王〈4VS4 第19試練〉,1056,294327,8610,3820,1358,floor-boss-210,未実戦検証
4対4,19,2,⚔️ 胞鋼の護衛役,1054,48127,6294,3423,970,,未実戦検証
4対4,19,3,⚔️ 胞鋼の祈祷役,1053,63375,9021,6720,2230,,未実戦検証
4対4,19,4,⚔️ 胞鋼の妨害役,1052,112159,13450,10568,2409,,未実戦検証
4対4,20,1,⚔️ 菌鏡の鏡術師〈4VS4 第20試練〉,1059,395139,3935,5279,851,floor-boss-220,未実戦検証
4対4,20,2,⚔️ 菌鏡の護衛役,1057,152615,9835,12436,650,,未実戦検証
4対4,20,3,⚔️ 菌鏡の祈祷役,1056,155762,13216,16213,2030,,未実戦検証
4対4,20,4,⚔️ 菌鏡の妨害役,1055,65922,12326,5764,1371,,未実戦検証
4対4,21,1,⚔️ 殖城の城塞公〈4VS4 第21試練〉,1056,587584,5817,10725,688,floor-boss-230,未実戦検証
4対4,21,2,⚔️ 殖城の護衛役,1054,77236,4778,5426,765,,未実戦検証
4対4,21,3,⚔️ 殖城の祈祷役,1053,59314,5757,5260,927,,未実戦検証
4対4,21,4,⚔️ 殖城の妨害役,1052,33259,2783,2884,824,,未実戦検証
4対4,22,1,⚔️ 瘴迅の疾風侯〈4VS4 第22試練〉,1059,226022,10839,3407,3426,floor-boss-240,未実戦検証
4対4,22,2,⚔️ 瘴迅の護衛役,1057,93726,5497,8406,1121,,未実戦検証
4対4,22,3,⚔️ 瘴迅の祈祷役,1056,76956,12169,8275,3150,,未実戦検証
4対4,22,4,⚔️ 瘴迅の妨害役,1055,67383,8466,7203,1958,,未実戦検証
4対4,23,1,⚔️ 腐命の命紡ぎ〈4VS4 第23試練〉,1062,562138,4498,6931,2102,floor-boss-250,未実戦検証
4対4,23,2,⚔️ 腐命の護衛役,1060,75934,4575,6481,1110,,未実戦検証
4対4,23,3,⚔️ 腐命の祈祷役,1059,31707,1801,3041,560,,未実戦検証
4対4,23,4,⚔️ 腐命の妨害役,1058,43808,3385,3769,791,,未実戦検証
4対4,24,1,⚔️ 帯電の封陣卿〈4VS4 第24試練〉,1065,1005178,6994,16205,1623,floor-boss-260,未実戦検証
4対4,24,2,⚔️ 帯電の護衛役,1063,320231,13959,27610,1156,,未実戦検証
4対4,24,3,⚔️ 帯電の祈祷役,1062,70899,5652,7675,1836,,未実戦検証
4対4,24,4,⚔️ 帯電の妨害役,1061,77729,12702,6720,1153,,未実戦検証
4対4,25,1,⚔️ 紫牙の双牙将〈4VS4 第25試練〉,1068,880868,26377,11502,1829,floor-boss-270,未実戦検証
4対4,25,2,⚔️ 紫牙の護衛役,1066,286989,17447,24639,1060,,未実戦検証
4対4,25,3,紫牙の祈祷役,1065,73093,8959,7588,2646,,未実戦検証
4対4,25,4,⚔️ 紫牙の妨害役,1064,82742,15873,7334,1188,,未実戦検証
4対4,26,1,⚔️ 雷鐘の葬鐘守〈4VS4 第26試練〉,1071,303232,4355,4457,788,floor-boss-280,未実戦検証
4対4,26,2,⚔️ 雷鐘の護衛役,1069,296986,17830,25524,1037,,未実戦検証
4対4,26,3,雷鐘の祈祷役,1068,60539,4673,5113,949,,未実戦検証
4対4,26,4,⚔️ 雷鐘の妨害役,1067,85581,16883,7529,1024,,未実戦検証
4対4,27,1,⚔️ 轟冠の冠位竜〈4VS4 第27試練〉,1074,677553,26966,9838,2458,floor-boss-290,未実戦検証
4対4,27,2,⚔️ 轟冠の護衛役,1072,309323,16426,26920,1141,,未実戦検証
4対4,27,3,⚔️ 轟冠の祈祷役,1071,86151,12502,8988,2973,,未実戦検証
4対4,27,4,⚔️ 轟冠の妨害役,1070,100229,13442,8603,1291,,未実戦検証
4対4,28,1,⚔️ 古門の剣王〈4VS4 第28試練〉,1077,256644,8981,5090,1846,floor-boss-310,未実戦検証
4対4,28,2,⚔️ 古門の護衛役,1075,68683,6765,6788,689,,未実戦検証
4対4,28,3,⚔️ 古門の祈祷役,1074,92298,13288,9696,2898,,未実戦検証
4対4,28,4,⚔️ 古門の妨害役,1073,46898,5293,3927,1455,,未実戦検証
4対4,29,1,⚔️ 苔鏡の鏡術師〈4VS4 第29試練〉,1080,226583,6171,3462,2458,floor-boss-320,未実戦検証
4対4,29,2,苔鏡の護衛役,1078,225451,10029,17774,771,,未実戦検証
4対4,29,3,⚔️ 苔鏡の祈祷役,1077,98871,13591,8613,2921,,未実戦検証
4対4,29,4,苔鏡の妨害役,1076,96158,22484,8712,3130,,未実戦検証
4対4,30,1,⚔️ 崩塞の城塞公〈4VS4 第30試練〉,1083,372424,9802,5806,1185,floor-boss-330,未実戦検証
4対4,30,2,⚔️ 崩塞の護衛役,1081,74445,4477,6418,1158,,未実戦検証
4対4,30,3,⚔️ 崩塞の祈祷役,1080,94649,11351,9710,3276,,未実戦検証
4対4,30,4,⚔️ 崩塞の妨害役,1079,52380,5814,4088,1637,,未実戦検証
4対4,31,1,⚔️ 封迅の疾風侯〈4VS4 第31試練〉,1080,292336,19266,4445,8567,floor-boss-340,未実戦検証
4対4,31,2,⚔️ 封迅の護衛役,1078,232324,15217,18575,1406,,未実戦検証
4対4,31,3,⚔️ 封迅の祈祷役,1077,112669,13954,10443,3343,,未実戦検証
4対4,31,4,⚔️ 封迅の妨害役,1076,125199,29343,11388,3695,,未実戦検証
4対4,32,1,⚔️ 祭命の命紡ぎ〈4VS4 第32試練〉,1083,652306,12972,9321,2373,floor-boss-350,未実戦検証
4対4,32,2,⚔️ 祭命の護衛役,1081,351945,31350,27984,1885,,未実戦検証
4対4,32,3,祭命の祈祷役,1080,175406,26677,20446,3173,,未実戦検証
4対4,32,4,⚔️ 祭命の妨害役,1079,132465,35579,12908,3665,,未実戦検証
4対4,33,1,⚔️ 芽嵐の封陣卿〈4VS4 第33試練〉,1086,724720,18518,9177,3879,floor-boss-360,未実戦検証
4対4,33,2,⚔️ 芽嵐の護衛役,1084,354684,37041,21444,2325,,未実戦検証
4対4,33,3,⚔️ 芽嵐の祈祷役,1083,79284,8671,6029,3039,,未実戦検証
4対4,33,4,⚔️ 芽嵐の妨害役,1082,70734,14643,6832,2242,,未実戦検証
4対4,34,1,⚔️ 絡牙の双牙将〈4VS4 第34試練〉,1089,612750,33254,9564,3969,floor-boss-370,未実戦検証
4対4,34,2,絡牙の護衛役,1087,313685,32480,18656,2229,,未実戦検証
4対4,34,3,⚔️ 絡牙の祈祷役,1086,114974,13323,9971,3299,,未実戦検証
4対4,34,4,⚔️ 絡牙の妨害役,1085,69396,17022,6422,2361,,未実戦検証
4対4,35,1,⚔️ 燐鐘の葬鐘守〈4VS4 第35試練〉,1092,880876,23619,13784,1738,floor-boss-380,未実戦検証
4対4,35,2,⚔️ 燐鐘の護衛役,1090,155818,6378,10452,908,,未実戦検証
4対4,35,3,⚔️ 燐鐘の祈祷役,1089,126048,17386,10741,4106,,未実戦検証
4対4,35,4,⚔️ 燐鐘の妨害役,1088,88262,15316,7999,2289,,未実戦検証
4対4,36,1,⚔️ 樹冠の冠位竜〈4VS4 第36試練〉,1095,1580669,33998,28321,2598,floor-boss-390,未実戦検証
4対4,36,2,⚔️ 樹冠の護衛役,1093,131895,6627,9664,983,,未実戦検証
4対4,36,3,⚔️ 樹冠の祈祷役,1092,122854,14407,10690,3574,,未実戦検証
4対4,36,4,⚔️ 樹冠の妨害役,1091,74175,15632,6892,2493,,未実戦検証
4対4,37,1,⚔️ 巡耀の剣王〈4VS4 第37試練〉,1098,379253,13994,6675,2606,floor-boss-410,未実戦検証
4対4,37,2,巡耀の護衛役,1096,170796,12803,15893,1678,,未実戦検証
4対4,37,3,⚔️ 巡耀の祈祷役,1095,222011,28321,25906,3691,,未実戦検証
4対4,37,4,⚔️ 巡耀の妨害役,1094,198609,23928,18356,4303,,未実戦検証
4対4,38,1,⚔️ 星鏡の鏡術師〈4VS4 第38試練〉,1101,410035,10898,5245,3180,floor-boss-420,未実戦検証
4対4,38,2,⚔️ 星鏡の護衛役,1099,326552,19948,22940,2975,,未実戦検証
4対4,38,3,⚔️ 星鏡の祈祷役,1098,118989,14586,12496,3682,,未実戦検証
4対4,38,4,⚔️ 星鏡の妨害役,1097,197877,23678,18667,3839,,未実戦検証
4対4,39,1,⚔️ 礼城の城塞公〈4VS4 第39試練〉,1104,358853,5491,5973,679,floor-boss-430,未実戦検証
4対4,39,2,⚔️ 礼城の護衛役,1102,205184,15789,19131,2097,,未実戦検証
4対4,39,3,⚔️ 礼城の祈祷役,1101,146084,14980,15031,3805,,未実戦検証
4対4,39,4,⚔️ 礼城の妨害役,1100,208875,29572,19375,3983,,未実戦検証
4対4,40,1,⚔️ 天迅の疾風侯〈4VS4 第40試練〉,1107,452783,20584,7127,5442,floor-boss-440,未実戦検証
4対4,40,2,⚔️ 天迅の護衛役,1105,206377,15814,19282,1951,,未実戦検証
4対4,40,3,⚔️ 天迅の祈祷役,1104,142519,14498,14600,3837,,未実戦検証
4対4,40,4,⚔️ 天迅の妨害役,1103,213461,25354,19856,4329,,未実戦検証
4対4,41,1,⚔️ 神庭の命紡ぎ〈4VS4 第41試練〉,1104,1109322,26417,19236,3882,floor-boss-450,未実戦検証
4対4,41,2,⚔️ 神庭の護衛役,1102,213403,15926,19896,2067,,未実戦検証
4対4,41,3,⚔️ 神庭の祈祷役,1101,63323,11339,7220,3554,,未実戦検証
4対4,41,4,⚔️ 神庭の妨害役,1100,211306,49035,19646,3838,,未実戦検証
4対4,42,1,⚔️ 裂界の封陣卿〈4VS4 第42試練〉,1107,1351732,16270,14466,622,floor-boss-460,未実戦検証
4対4,42,2,⚔️ 裂界の護衛役,1105,649748,28167,53099,1707,,未実戦検証
4対4,42,3,⚔️ 裂界の祈祷役,1104,109308,12814,9202,2514,,未実戦検証
4対4,42,4,⚔️ 裂界の妨害役,1103,227734,51957,19464,4289,,未実戦検証
4対4,43,1,⚔️ 星骸の双牙将〈4VS4 第43試練〉,1110,989749,36910,18564,5895,floor-boss-470,未実戦検証
4対4,43,2,⚔️ 星骸の護衛役,1108,213542,27723,20243,1464,,未実戦検証
4対4,43,3,⚔️ 星骸の祈祷役,1107,105971,10019,8945,2058,,未実戦検証
4対4,43,4,星骸の妨害役,1106,202866,46949,17296,4056,,未実戦検証
4対4,44,1,⚔️ 重鐘の葬鐘守〈4VS4 第44試練〉,1113,1532601,15021,27349,1817,floor-boss-480,未実戦検証
4対4,44,2,⚔️ 重鐘の護衛役,1111,128401,8618,13261,1285,,未実戦検証
4対4,44,3,重鐘の祈祷役,1110,96602,10688,8019,1966,,未実戦検証
4対4,44,4,重鐘の妨害役,1109,206735,47847,17627,4108,,未実戦検証
4対4,45,1,⚔️ 虚冠の冠位竜〈4VS4 第45試練〉,1116,1255225,30225,18953,4441,floor-boss-490,未実戦検証
4対4,45,2,虚冠の護衛役,1114,597238,26034,48776,1444,,未実戦検証
4対4,45,3,虚冠の祈祷役,1113,96572,9052,8016,1992,,未実戦検証
4対4,45,4,⚔️ 虚冠の妨害役,1112,53861,13536,5158,3772,,未実戦検証
4対4,46,1,⚔️ 浅潮の剣王〈4VS4 第46試練〉,1119,383184,15544,4549,5736,floor-boss-510,未実戦検証
4対4,46,2,⚔️ 浅潮の護衛役,1117,287466,26045,20899,1804,,未実戦検証
4対4,46,3,⚔️ 浅潮の祈祷役,1116,61390,7426,5912,2722,,未実戦検証
4対4,46,4,⚔️ 浅潮の妨害役,1115,310773,42471,25766,3363,,未実戦検証
4対4,47,1,⚔️ 藻鏡の鏡術師〈4VS4 第47試練〉,1122,697081,8411,10769,4230,floor-boss-520,未実戦検証
4対4,47,2,⚔️ 藻鏡の護衛役,1120,339715,24140,22913,1936,,未実戦検証
4対4,47,3,⚔️ 藻鏡の祈祷役,1119,63818,8218,6362,2404,,未実戦検証
4対4,47,4,⚔️ 藻鏡の妨害役,1118,118634,18273,10837,3162,,未実戦検証
4対4,48,1,⚔️ 圧城の城塞公〈4VS4 第48試練〉,1125,570967,17674,9015,2100,floor-boss-530,未実戦検証
4対4,48,2,⚔️ 圧城の護衛役,1123,345997,25509,23901,2457,,未実戦検証
4対4,48,3,⚔️ 圧城の祈祷役,1122,61086,8936,5867,2473,,未実戦検証
4対4,48,4,⚔️ 圧城の妨害役,1121,331966,53062,27801,2659,,未実戦検証
4対4,49,1,⚔️ 深迅の疾風侯〈4VS4 第49試練〉,1128,614408,37491,8599,9594,floor-boss-540,未実戦検証
4対4,49,2,⚔️ 深迅の護衛役,1126,296491,25019,21133,1876,,未実戦検証
4対4,49,3,⚔️ 深迅の祈祷役,1125,61630,8988,5972,2462,,未実戦検証
4対4,49,4,⚔️ 深迅の妨害役,1124,329071,45370,27694,2406,,未実戦検証
4対4,50,1,⚔️ 海命の命紡ぎ〈4VS4 第50試練〉,1131,2107669,16709,25911,2482,floor-boss-550,未実戦検証
4対4,50,2,⚔️ 海命の護衛役,1129,434353,23951,34161,2464,,未実戦検証
4対4,50,3,⚔️ 海命の祈祷役,1128,66383,8197,6380,3117,,未実戦検証
4対4,50,4,⚔️ 海命の妨害役,1127,151532,16068,14289,1972,,未実戦検証
4対4,51,1,⚔️ 境鎖の封陣卿〈4VS4 第51試練〉,1128,947746,30458,15413,5467,floor-boss-560,未実戦検証
4対4,51,2,⚔️ 境鎖の護衛役,1126,948222,33731,76280,1620,,未実戦検証
4対4,51,3,⚔️ 境鎖の祈祷役,1125,149078,11631,12041,2517,,未実戦検証
4対4,51,4,境鎖の妨害役,1124,47626,9021,3918,3323,,未実戦検証
4対4,52,1,⚔️ 裂雷の双牙将〈4VS4 第52試練〉,1131,1297283,35647,13423,2207,floor-boss-570,未実戦検証
4対4,52,2,⚔️ 裂雷の護衛役,1129,643679,26925,54045,1700,,未実戦検証
4対4,52,3,⚔️ 裂雷の祈祷役,1128,192428,19619,20229,4811,,未実戦検証
4対4,52,4,裂雷の妨害役,1127,159154,21453,13489,1806,,未実戦検証
4対4,53,1,⚔️ 熔鐘の葬鐘守〈4VS4 第53試練〉,1134,498786,14568,6878,2884,floor-boss-580,未実戦検証
4対4,53,2,熔鐘の護衛役,1132,130056,13571,7702,2032,,未実戦検証
4対4,53,3,熔鐘の祈祷役,1131,255823,31879,21742,6153,,未実戦検証
4対4,53,4,⚔️ 熔鐘の妨害役,1130,74983,13897,5135,2666,,未実戦検証
4対4,54,1,⚔️ 凍界の冠位竜〈4VS4 第54試練〉,1137,764209,27524,11431,6518,floor-boss-590,未実戦検証
4対4,54,2,⚔️ 凍界の護衛役,1135,118778,10251,6808,2710,,未実戦検証
4対4,54,3,⚔️ 凍界の祈祷役,1134,133667,10522,11428,1832,,未実戦検証
4対4,54,4,⚔️ 凍界の妨害役,1133,266609,97584,105351,14259,,未実戦検証
4対4,55,1,⚔️ 炉牙の剣王〈4VS4 第55試練〉,1140,527422,21043,12390,4888,floor-boss-610,未実戦検証
4対4,55,2,⚔️ 炉牙の護衛役,1138,180880,16060,10906,2159,,未実戦検証
4対4,55,3,炉牙の祈祷役,1137,257627,32107,21900,5336,,未実戦検証
4対4,55,4,⚔️ 炉牙の妨害役,1136,37049,9064,2276,4348,,未実戦検証
4対4,56,1,⚔️ 焔鏡の鏡術師〈4VS4 第56試練〉,1143,451218,9963,6315,5059,floor-boss-620,未実戦検証
4対4,56,2,⚔️ 焔鏡の護衛役,1141,179116,15806,10559,2312,,未実戦検証
4対4,56,3,⚔️ 焔鏡の祈祷役,1140,301954,43759,25701,5740,,未実戦検証
4対4,56,4,⚔️ 焔鏡の妨害役,1139,85323,19764,7817,2349,,未実戦検証
4対4,57,1,⚔️ 脈塞の城塞公〈4VS4 第57試練〉,1146,1693673,23486,28460,1752,floor-boss-630,未実戦検証
4対4,57,2,⚔️ 脈塞の護衛役,1144,180560,15416,10612,2251,,未実戦検証
4対4,57,3,⚔️ 脈塞の祈祷役,1143,307036,37279,26708,5717,,未実戦検証
4対4,57,4,⚔️ 脈塞の妨害役,1142,81543,17680,5567,2628,,未実戦検証
4対4,58,1,⚔️ 熔駆の疾風侯〈4VS4 第58試練〉,1149,537738,44206,8576,7819,floor-boss-640,未実戦検証
4対4,58,2,⚔️ 熔駆の護衛役,1147,160918,17835,11784,2233,,未実戦検証
4対4,58,3,⚔️ 熔駆の祈祷役,1146,314335,38942,26926,5823,,未実戦検証
4対4,58,4,熔駆の妨害役,1145,68842,15187,4593,2314,,未実戦検証
4対4,59,1,⚔️ 火命の命紡ぎ〈4VS4 第59試練〉,1152,2180281,22458,22051,2154,floor-boss-650,未実戦検証
4対4,59,2,⚔️ 火命の護衛役,1150,155562,16483,9342,2475,,未実戦検証
4対4,59,3,⚔️ 火命の祈祷役,1149,312050,38341,26479,6087,,未実戦検証
4対4,59,4,⚔️ 火命の妨害役,1148,80183,17594,5489,2472,,未実戦検証
4対4,60,1,⚔️ 氷鎖の封陣卿〈4VS4 第60試練〉,1155,1689401,19568,22708,4108,floor-boss-660,未実戦検証
4対4,60,2,⚔️ 氷鎖の護衛役,1153,135114,7181,8890,890,,未実戦検証
4対4,60,3,⚔️ 氷鎖の祈祷役,1152,143491,10660,11861,2509,,未実戦検証
