対象ID,モード,編成,種族ID,Lv,試行数,勝利数,勝率%,勝利時平均R,勝利時最大R,初手戦闘不能あり%,MPが0になった戦闘%,相乗効果平均発動数
rematch:floor-boss-760,欠片試練・初回,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,760,100,99,99,3.51,7,1,0,0.44
rematch:floor-boss-770,欠片試練・初回,【竜姫】ドラシア / 【竜姫】リュシエ / 【薬毒】ミレア / 【薬毒】ヴィオラ,ch2_dracia / ch2_rucie / ch2_mirea / ch2_viola,770,100,100,100,2.16,4,0,0,1.68
rematch:floor-boss-770,欠片試練・初回,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,770,100,100,100,2.42,3,0,0,0
rematch:floor-boss-770,欠片試練・初回,【双雷】カリスタ / 【双雷】ソレーヌ / 【薬毒】ミレア / 【薬毒】ヴィオラ,ch2_calista / ch2_solenne / ch2_mirea / ch2_viola,770,100,100,100,2.44,4,0,0,3.64
rematch:floor-boss-780,欠片試練・初回,【剣姫】ネメシア / 【剣姫】エヴェリア / 【双鐘】フェルネ / 【双鐘】クラリス,ch2_nemesia / ch2_everia / ch2_ferne / ch2_clarisse,780,100,100,100,2.24,3,0,0,0.71
rematch:floor-boss-780,欠片試練・初回,【返誓】ロスティア / 【返誓】アルテア / 【星刻】エイレーネ / 【星刻】イリデル,ch2_rostia / ch2_althea / ch2_eirene / ch2_iridelle,780,100,100,100,2.37,3,0,0,2.07
rematch:floor-boss-780,欠片試練・初回,【双雷】カリスタ / 【双雷】ソレーヌ / 【薬毒】ミレア / 【薬毒】ヴィオラ,ch2_calista / ch2_solenne / ch2_mirea / ch2_viola,780,100,100,100,2.98,4,0,0,4.18
rematch:floor-boss-790,欠片試練・初回,【剣姫】ネメシア / 【剣姫】エヴェリア / 【双鐘】フェルネ / 【双鐘】クラリス,ch2_nemesia / ch2_everia / ch2_ferne / ch2_clarisse,790,100,100,100,2.56,6,0,0,0.61
rematch:floor-boss-790,欠片試練・初回,【竜姫】ドラシア / 【竜姫】リュシエ / 【薬毒】ミレア / 【薬毒】ヴィオラ,ch2_dracia / ch2_rucie / ch2_mirea / ch2_viola,790,100,100,100,4.56,8,0,0,3.09
rematch:floor-boss-790,欠片試練・初回,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,790,100,100,100,4.87,7,0,0,0.97
rematch:floor-boss-810,欠片試練・初回,【竜姫】ドラシア / 【竜姫】リュシエ / 【薬毒】ミレア / 【薬毒】ヴィオラ,ch2_dracia / ch2_rucie / ch2_mirea / ch2_viola,810,100,100,100,2.74,4,0,0,2.14
rematch:floor-boss-810,欠片試練・初回,【双藤】ネヴィア / 【双藤】エルミナ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_nevia / ch2_elmina / ch2_aure / ch2_noelle,810,100,100,100,2.81,3,0,0,0.59
rematch:floor-boss-810,欠片試練・初回,【霊符】シオン / 【霊符】スイレン / 【日月】ルナリア / 【日月】ソラリア,ch2_shion / ch2_suiren / ch2_lunaria / ch2_solaria,810,100,100,100,2.84,3,0,0,4.69
rematch:floor-boss-820,欠片試練・初回,【剣姫】ネメシア / 【剣姫】エヴェリア / 【双鐘】フェルネ / 【双鐘】クラリス,ch2_nemesia / ch2_everia / ch2_ferne / ch2_clarisse,820,100,100,100,1.6,2,0,0,0.85
rematch:floor-boss-820,欠片試練・初回,【星糸】セレス / 【星糸】ルミナ / 【誓姫】リリエット / 【誓姫】ロゼット,ch2_celes / ch2_lumina / ch2_lyriet / ch2_rosette,820,100,100,100,1.86,2,0,0,1.47
rematch:floor-boss-820,欠片試練・初回,【竜姫】ドラシア / 【竜姫】リュシエ / 【薬毒】ミレア / 【薬毒】ヴィオラ,ch2_dracia / ch2_rucie / ch2_mirea / ch2_viola,820,100,100,100,1.97,3,0,0,1.73
rematch:floor-boss-830,欠片試練・初回,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,830,100,100,100,3.12,4,0,0,0
rematch:floor-boss-830,欠片試練・初回,【双藤】ネヴィア / 【双藤】エルミナ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_nevia / ch2_elmina / ch2_aure / ch2_noelle,830,100,100,100,3.65,5,0,0,0.66
rematch:floor-boss-830,欠片試練・初回,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,830,100,100,100,3.99,12,0,0,1.27
rematch:floor-boss-840,欠片試練・初回,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,840,100,98,98,3.03,4,1,0,0.06
rematch:floor-boss-840,欠片試練・初回,【霊符】シオン / 【霊符】スイレン / 【日月】ルナリア / 【日月】ソラリア,ch2_shion / ch2_suiren / ch2_lunaria / ch2_solaria,840,100,97,97,3.1,7,4,0,4.8
rematch:floor-boss-840,欠片試練・初回,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,840,100,88,88,3.15,7,13,0,0.19
rematch:floor-boss-850,欠片試練・初回,【剣姫】ネメシア / 【剣姫】エヴェリア / 【双鐘】フェルネ / 【双鐘】クラリス,ch2_nemesia / ch2_everia / ch2_ferne / ch2_clarisse,850,100,100,100,7.75,14,0,0,4.39
rematch:floor-boss-850,欠片試練・初回,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,850,100,99,99,8.8,19,0,0,1.13
rematch:floor-boss-850,欠片試練・初回,【竜姫】ドラシア / 【竜姫】リュシエ / 【薬毒】ミレア / 【薬毒】ヴィオラ,ch2_dracia / ch2_rucie / ch2_mirea / ch2_viola,850,100,98,98,12.61,28,0,0,9.46
rematch:floor-boss-860,欠片試練・初回,【霊符】シオン / 【霊符】スイレン / 【日月】ルナリア / 【日月】ソラリア,ch2_shion / ch2_suiren / ch2_lunaria / ch2_solaria,860,100,100,100,1.27,2,0,0,1.36
rematch:floor-boss-860,欠片試練・初回,【竜姫】ドラシア / 【竜姫】リュシエ / 【薬毒】ミレア / 【薬毒】ヴィオラ,ch2_dracia / ch2_rucie / ch2_mirea / ch2_viola,860,100,100,100,1.4,3,0,0,1.1
rematch:floor-boss-860,欠片試練・初回,【双雷】カリスタ / 【双雷】ソレーヌ / 【薬毒】ミレア / 【薬毒】ヴィオラ,ch2_calista / ch2_solenne / ch2_mirea / ch2_viola,860,100,100,100,1.97,3,0,0,1.85
rematch:floor-boss-870,欠片試練・初回,【霊符】シオン / 【霊符】スイレン / 【日月】ルナリア / 【日月】ソラリア,ch2_shion / ch2_suiren / ch2_lunaria / ch2_solaria,870,100,100,100,2.72,3,0,0,4.24
rematch:floor-boss-870,欠片試練・初回,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,870,100,100,100,2.73,4,0,0,0.01
rematch:floor-boss-870,欠片試練・初回,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,870,100,100,100,2.77,4,0,0,0.07
rematch:floor-boss-880,欠片試練・初回,【返誓】ロスティア / 【返誓】アルテア / 【星刻】エイレーネ / 【星刻】イリデル,ch2_rostia / ch2_althea / ch2_eirene / ch2_iridelle,880,100,100,100,2.06,4,0,0,2.26
rematch:floor-boss-880,欠片試練・初回,【星糸】セレス / 【星糸】ルミナ / 【誓姫】リリエット / 【誓姫】ロゼット,ch2_celes / ch2_lumina / ch2_lyriet / ch2_rosette,880,100,100,100,2.11,3,0,0,1.83
rematch:floor-boss-880,欠片試練・初回,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,880,100,100,100,2.44,3,0,0,0
rematch:floor-boss-890,欠片試練・初回,【剣姫】ネメシア / 【剣姫】エヴェリア / 【双鐘】フェルネ / 【双鐘】クラリス,ch2_nemesia / ch2_everia / ch2_ferne / ch2_clarisse,890,100,100,100,2.43,3,0,0,0.49
rematch:floor-boss-890,欠片試練・初回,【霊符】シオン / 【霊符】スイレン / 【日月】ルナリア / 【日月】ソラリア,ch2_shion / ch2_suiren / ch2_lunaria / ch2_solaria,890,100,100,100,2.99,4,0,0,5.49
rematch:floor-boss-890,欠片試練・初回,【月狐】カグラ / 【月狐】サヨ / 【双鐘】フェルネ / 【双鐘】クラリス,ch2_kagura / ch2_sayo / ch2_ferne / ch2_clarisse,890,100,100,100,3.01,4,0,0,0.04
rematch:floor-boss-910,欠片試練・初回,【霊符】シオン / 【霊符】スイレン / 【日月】ルナリア / 【日月】ソラリア,ch2_shion / ch2_suiren / ch2_lunaria / ch2_solaria,910,100,100,100,4.16,8,0,0,7.31
rematch:floor-boss-910,欠片試練・初回,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,910,100,100,100,4.59,9,0,0,0.3
rematch:floor-boss-910,欠片試練・初回,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,910,100,92,92,6.91,40,0,0,2.44
rematch:floor-boss-920,欠片試練・初回,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,920,100,100,100,3.88,6,0,0,1.15
rematch:floor-boss-920,欠片試練・初回,【星糸】セレス / 【星糸】ルミナ / 【誓姫】リリエット / 【誓姫】ロゼット,ch2_celes / ch2_lumina / ch2_lyriet / ch2_rosette,920,100,100,100,4.38,9,1,0,3.67
rematch:floor-boss-920,欠片試練・初回,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,920,100,100,100,5.19,10,0,0,1.54
rematch:floor-boss-930,欠片試練・初回,【剣姫】ネメシア / 【剣姫】エヴェリア / 【双鐘】フェルネ / 【双鐘】クラリス,ch2_nemesia / ch2_everia / ch2_ferne / ch2_clarisse,930,100,100,100,8.12,19,0,0,2.82
rematch:floor-boss-930,欠片試練・初回,【双藤】ネヴィア / 【双藤】エルミナ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_nevia / ch2_elmina / ch2_aure / ch2_noelle,930,100,95,95,18.28,37,0,0,9.12
rematch:floor-boss-930,欠片試練・初回,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,930,100,89,89,20.55,39,0,0,2.2
rematch:floor-boss-940,欠片試練・初回,【剣姫】ネメシア / 【剣姫】エヴェリア / 【双鐘】フェルネ / 【双鐘】クラリス,ch2_nemesia / ch2_everia / ch2_ferne / ch2_clarisse,940,100,98,98,3.33,5,0,0,0.92
rematch:floor-boss-940,欠片試練・初回,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,940,100,89,89,5.44,10,7,0,1.77
rematch:floor-boss-940,欠片試練・初回,【双雷】カリスタ / 【双雷】ソレーヌ / 【薬毒】ミレア / 【薬毒】ヴィオラ,ch2_calista / ch2_solenne / ch2_mirea / ch2_viola,940,100,80,80,5.78,12,9,0,8.77
rematch:floor-boss-950,欠片試練・初回,【剣姫】ネメシア / 【剣姫】エヴェリア / 【双鐘】フェルネ / 【双鐘】クラリス,ch2_nemesia / ch2_everia / ch2_ferne / ch2_clarisse,950,100,100,100,4.06,5,0,0,1.23
rematch:floor-boss-950,欠片試練・初回,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,950,100,100,100,4.35,7,0,0,0.04
rematch:floor-boss-950,欠片試練・初回,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,950,100,100,100,6.74,15,0,0,2.75
rematch:floor-boss-960,欠片試練・初回,【剣姫】ネメシア / 【剣姫】エヴェリア / 【双鐘】フェルネ / 【双鐘】クラリス,ch2_nemesia / ch2_everia / ch2_ferne / ch2_clarisse,960,100,100,100,2.91,3,0,0,1.27
rematch:floor-boss-960,欠片試練・初回,【双藤】ネヴィア / 【双藤】エルミナ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_nevia / ch2_elmina / ch2_aure / ch2_noelle,960,100,100,100,3.19,4,0,0,0.55
rematch:floor-boss-960,欠片試練・初回,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,960,100,100,100,3.34,5,1,0,0.51
rematch:floor-boss-970,欠片試練・初回,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,970,100,100,100,2.06,3,1,0,0.03
rematch:floor-boss-970,欠片試練・初回,【霊符】シオン / 【霊符】スイレン / 【日月】ルナリア / 【日月】ソラリア,ch2_shion / ch2_suiren / ch2_lunaria / ch2_solaria,970,100,100,100,2.13,3,1,0,3.84
rematch:floor-boss-970,欠片試練・初回,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,970,100,100,100,2.27,3,2,0,0.01
rematch:floor-boss-980,欠片試練・初回,【剣姫】ネメシア / 【剣姫】エヴェリア / 【双鐘】フェルネ / 【双鐘】クラリス,ch2_nemesia / ch2_everia / ch2_ferne / ch2_clarisse,980,100,100,100,2.24,3,0,0,0.95
rematch:floor-boss-980,欠片試練・初回,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,980,100,100,100,2.62,3,0,0,0
rematch:floor-boss-980,欠片試練・初回,【返誓】ロスティア / 【返誓】アルテア / 【星刻】エイレーネ / 【星刻】イリデル,ch2_rostia / ch2_althea / ch2_eirene / ch2_iridelle,980,100,100,100,2.79,4,0,0,2.12
rematch:floor-boss-990,欠片試練・初回,【月狐】カグラ / 【月狐】サヨ / 【双鐘】フェルネ / 【双鐘】クラリス,ch2_kagura / ch2_sayo / ch2_ferne / ch2_clarisse,990,100,100,100,4.77,8,0,0,0.68
rematch:floor-boss-990,欠片試練・初回,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,990,100,100,100,6.88,12,1,0,2.79
rematch:floor-boss-990,欠片試練・初回,【霊符】シオン / 【霊符】スイレン / 【日月】ルナリア / 【日月】ソラリア,ch2_shion / ch2_suiren / ch2_lunaria / ch2_solaria,990,100,99,99,6.41,9,0,0,11.68
corridor:1,回廊・初周,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,10,100,100,100,1,1,0,0,0
corridor:1,回廊・初周,【双雷】カリスタ / 【双雷】ソレーヌ / 【薬毒】ミレア / 【薬毒】ヴィオラ,ch2_calista / ch2_solenne / ch2_mirea / ch2_viola,10,100,100,100,1,1,0,0,0.21
corridor:1,回廊・初周,【硝子】セリア / 【硝子】カルミア / 封書の小剣姫ルメア / 夜灯の従騎フィオラ,ch2_seria / ch2_carmia / ch2_lumea / ch2_fiora,10,100,100,100,1,1,0,0,0.04
corridor:2,回廊・初周,【霊符】シオン / 【霊符】スイレン / 【日月】ルナリア / 【日月】ソラリア,ch2_shion / ch2_suiren / ch2_lunaria / ch2_solaria,20,100,100,100,1.02,2,0,0,1.07
corridor:2,回廊・初周,【双雷】カリスタ / 【双雷】ソレーヌ / 【薬毒】ミレア / 【薬毒】ヴィオラ,ch2_calista / ch2_solenne / ch2_mirea / ch2_viola,20,100,100,100,1.06,2,0,0,0.89
corridor:2,回廊・初周,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,20,100,100,100,1.08,2,0,0,0
corridor:3,回廊・初周,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,30,100,100,100,1,1,0,0,0
corridor:3,回廊・初周,【双雷】カリスタ / 【双雷】ソレーヌ / 【薬毒】ミレア / 【薬毒】ヴィオラ,ch2_calista / ch2_solenne / ch2_mirea / ch2_viola,30,100,100,100,1,1,0,0,1.03
corridor:3,回廊・初周,【霊符】シオン / 【霊符】スイレン / 【日月】ルナリア / 【日月】ソラリア,ch2_shion / ch2_suiren / ch2_lunaria / ch2_solaria,30,100,100,100,1,1,0,0,1
corridor:4,回廊・初周,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,40,100,100,100,1,1,0,0,0
corridor:4,回廊・初周,【月狐】カグラ / 【月狐】サヨ / 【双鐘】フェルネ / 【双鐘】クラリス,ch2_kagura / ch2_sayo / ch2_ferne / ch2_clarisse,40,100,100,100,1.06,2,0,0,0
corridor:4,回廊・初周,【霊符】シオン / 【霊符】スイレン / 【日月】ルナリア / 【日月】ソラリア,ch2_shion / ch2_suiren / ch2_lunaria / ch2_solaria,40,100,100,100,1.08,2,0,0,1.12
corridor:5,回廊・初周,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,50,100,100,100,2,2,0,0,0
corridor:5,回廊・初周,【霊符】シオン / 【霊符】スイレン / 【日月】ルナリア / 【日月】ソラリア,ch2_shion / ch2_suiren / ch2_lunaria / ch2_solaria,50,100,100,100,2.06,3,0,0,3.29
corridor:5,回廊・初周,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,50,100,100,100,2.17,3,0,0,0.15
corridor:6,回廊・初周,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,60,100,100,100,1,1,0,0,0
corridor:6,回廊・初周,【霊符】シオン / 【霊符】スイレン / 【日月】ルナリア / 【日月】ソラリア,ch2_shion / ch2_suiren / ch2_lunaria / ch2_solaria,60,100,100,100,1,1,0,0,1.02
corridor:6,回廊・初周,【双雷】カリスタ / 【双雷】ソレーヌ / 【薬毒】ミレア / 【薬毒】ヴィオラ,ch2_calista / ch2_solenne / ch2_mirea / ch2_viola,60,100,100,100,1.02,2,0,0,1.27
corridor:7,回廊・初周,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,70,100,100,100,1.03,2,0,0,0
corridor:7,回廊・初周,【剣姫】ネメシア / 【剣姫】エヴェリア / 【双鐘】フェルネ / 【双鐘】クラリス,ch2_nemesia / ch2_everia / ch2_ferne / ch2_clarisse,70,100,100,100,1.03,2,0,0,0
corridor:7,回廊・初周,【双藤】ネヴィア / 【双藤】エルミナ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_nevia / ch2_elmina / ch2_aure / ch2_noelle,70,100,100,100,1.13,2,1,0,0.64
corridor:8,回廊・初周,【剣姫】ネメシア / 【剣姫】エヴェリア / 【双鐘】フェルネ / 【双鐘】クラリス,ch2_nemesia / ch2_everia / ch2_ferne / ch2_clarisse,80,100,100,100,1.76,3,53,0,0.06
corridor:8,回廊・初周,【竜姫】ドラシア / 【竜姫】リュシエ / 【薬毒】ミレア / 【薬毒】ヴィオラ,ch2_dracia / ch2_rucie / ch2_mirea / ch2_viola,80,100,100,100,2.26,4,25,0,1.34
corridor:8,回廊・初周,【双雷】カリスタ / 【双雷】ソレーヌ / 【薬毒】ミレア / 【薬毒】ヴィオラ,ch2_calista / ch2_solenne / ch2_mirea / ch2_viola,80,100,100,100,2.42,4,0,0,3.09
corridor:9,回廊・初周,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,90,100,100,100,5.42,7,0,0,0.31
corridor:9,回廊・初周,【返誓】ロスティア / 【返誓】アルテア / 【星刻】エイレーネ / 【星刻】イリデル,ch2_rostia / ch2_althea / ch2_eirene / ch2_iridelle,90,100,100,100,5.48,8,0,0,5.85
corridor:9,回廊・初周,【月狐】カグラ / 【月狐】サヨ / 【双鐘】フェルネ / 【双鐘】クラリス,ch2_kagura / ch2_sayo / ch2_ferne / ch2_clarisse,90,100,100,100,6.32,10,0,0,2.2
corridor:10,回廊・初周,【剣姫】ネメシア / 【剣姫】エヴェリア / 【双鐘】フェルネ / 【双鐘】クラリス,ch2_nemesia / ch2_everia / ch2_ferne / ch2_clarisse,110,100,100,100,1.1,2,0,0,0.02
corridor:10,回廊・初周,【双藤】ネヴィア / 【双藤】エルミナ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_nevia / ch2_elmina / ch2_aure / ch2_noelle,110,100,100,100,1.35,2,0,0,0.66
corridor:10,回廊・初周,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,110,100,100,100,2,2,0,0,0
corridor:11,回廊・初周,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,120,100,100,100,1.13,2,0,0,0
corridor:11,回廊・初周,【星糸】セレス / 【星糸】ルミナ / 【誓姫】リリエット / 【誓姫】ロゼット,ch2_celes / ch2_lumina / ch2_lyriet / ch2_rosette,120,100,100,100,1.18,2,0,0,1.04
corridor:11,回廊・初周,【双藤】ネヴィア / 【双藤】エルミナ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_nevia / ch2_elmina / ch2_aure / ch2_noelle,120,100,100,100,1.19,2,0,0,0.57
corridor:12,回廊・初周,【双藤】ネヴィア / 【双藤】エルミナ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_nevia / ch2_elmina / ch2_aure / ch2_noelle,130,100,100,100,1.58,3,0,0,0.55
corridor:12,回廊・初周,【剣姫】ネメシア / 【剣姫】エヴェリア / 【双鐘】フェルネ / 【双鐘】クラリス,ch2_nemesia / ch2_everia / ch2_ferne / ch2_clarisse,130,100,100,100,1.69,2,0,0,0.27
corridor:12,回廊・初周,【双雷】カリスタ / 【双雷】ソレーヌ / 【薬毒】ミレア / 【薬毒】ヴィオラ,ch2_calista / ch2_solenne / ch2_mirea / ch2_viola,130,100,100,100,2.11,3,0,0,3.05
corridor:13,回廊・初周,【返誓】ロスティア / 【返誓】アルテア / 【星刻】エイレーネ / 【星刻】イリデル,ch2_rostia / ch2_althea / ch2_eirene / ch2_iridelle,140,100,100,100,1.07,2,0,0,1.36
corridor:13,回廊・初周,【星糸】セレス / 【星糸】ルミナ / 【誓姫】リリエット / 【誓姫】ロゼット,ch2_celes / ch2_lumina / ch2_lyriet / ch2_rosette,140,100,100,100,1.09,2,1,0,1
corridor:13,回廊・初周,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,140,100,100,100,1.1,2,0,0,0
corridor:14,回廊・初周,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,150,100,100,100,2,2,0,0,0
corridor:14,回廊・初周,【双藤】ネヴィア / 【双藤】エルミナ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_nevia / ch2_elmina / ch2_aure / ch2_noelle,150,100,100,100,2.03,3,0,0,0.58
corridor:14,回廊・初周,【返誓】ロスティア / 【返誓】アルテア / 【星刻】エイレーネ / 【星刻】イリデル,ch2_rostia / ch2_althea / ch2_eirene / ch2_iridelle,150,100,100,100,2.04,3,0,0,1.29
corridor:15,回廊・初周,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,160,100,100,100,2,2,0,0,0
corridor:15,回廊・初周,【霊符】シオン / 【霊符】スイレン / 【日月】ルナリア / 【日月】ソラリア,ch2_shion / ch2_suiren / ch2_lunaria / ch2_solaria,160,100,100,100,2,2,0,0,2.95
corridor:15,回廊・初周,【双雷】カリスタ / 【双雷】ソレーヌ / 【薬毒】ミレア / 【薬毒】ヴィオラ,ch2_calista / ch2_solenne / ch2_mirea / ch2_viola,160,100,100,100,2.17,3,0,0,3.04
corridor:16,回廊・初周,【返誓】ロスティア / 【返誓】アルテア / 【星刻】エイレーネ / 【星刻】イリデル,ch2_rostia / ch2_althea / ch2_eirene / ch2_iridelle,170,100,100,100,2.31,3,0,0,2.53
corridor:16,回廊・初周,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,170,100,100,100,3,3,0,0,0.17
corridor:16,回廊・初周,【鏡侍女】リュネ / 【鏡侍女】ロゼ / 【聖翼】アウレ / 【聖翼】ノエル,ch2_ryune / ch2_rose / ch2_aure / ch2_noelle,170,100,100,100,3.02,4,0,0,0.16
corridor:17,回廊・初周,【返誓】ロスティア / 【返誓】アルテア / 【星刻】エイレーネ / 【星刻】イリデル,ch2_rostia / ch2_althea / ch2_eirene / ch2_iridelle,180,100,100,100,3.51,7,0,0,3.29
corridor:17,回廊・初周,【封鍵】メリオラ / 【封鍵】エリゼル / 【薔薇】ノクテル / 【薔薇】オーリアン,ch2_meliora / ch2_elyselle / ch2_noctelle / ch2_auriane,180,100,100,100,4.46,18,0,0,0.23
corridor:17,回廊・初周,【霊符】シオン / 【霊符】スイレン / 【日月】ルナリア / 【日月】ソラリア,ch2_shion / ch2_suiren / ch2_lunaria / ch2_solaria,180,100,100,100,5.4,11,0,0,9.69
corridor:18,回廊・初周,【剣姫】ネメシア / 【剣姫】エヴェリア / 【双鐘】フェルネ / 【双鐘】クラリス,ch2_nemesia / ch2_everia / ch2_ferne / ch2_clarisse,190,100,100,100,1.38,2,0,0,0.18
